District,Year,Offence Group,Total Number of Offences,Total Employed,Total Persons,Unemployed,Unemployment Rate (%)
Goldfields-Esperance District,16,Assault Police Officer,111.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Attempted / Conspiracy to Murder,0.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Breach of Family Violence Restraint Order,183.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Breach of Police Order,193.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Breach of Violence Restraint Order,37.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Burglary (Dwelling),900.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Burglary (Non-Dwelling),391.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Cause Bushfire,2.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Cause Damage by Fire,30.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Common Assault (Family),607.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Common Assault (Non-Family),263.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Criminal Damage,566.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Cultivate or Manufacture Drugs,43.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Damage,1311.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Deprivation of Liberty,7.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Driving Causing Death,2.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Drug Dealing,84.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Drug Possession,609.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Forgery,15.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Fraud (Credit Card),0.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Fraud (Not Elsewhere Classified),537.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Graffiti,54.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Kidnapping / Child Stealing,1.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Manslaughter,1.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Murder,3.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Non-Assaultive Sexual Offences,7.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Other Drug Offences,6.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Other Fire Related Offences,2.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Possess Stolen Property,106.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Possess Weapon to Cause Fear (Family),29.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Possess Weapon to Cause Fear (Non-Family),88.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Possession of Drug Paraphernalia,498.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Receiving Stolen Property,29.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Regulated Weapons Offences,165.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Robbery (Business),2.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Robbery (Non-Business),24.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Serious Assault (Family),252.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Serious Assault (Non-Family),197.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Sexual Assault,110.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Stealing (Not Elsewhere Classified),1875.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Stealing From Dwelling,0.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Stealing From Motor Vehicle (Contents or Parts),0.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Stealing From Other Premises or Place,0.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Stealing From Retail Premises (Shoplift),0.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Stealing as a Servant,12.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Stealing of Motor Vehicle,262.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Threatening Behaviour (Family),41.0,85914.0,91975.0,6061.0,7.05
Goldfields-Esperance District,16,Threatening Behaviour (Non-Family),41.0,85914.0,91975.0,6061.0,7.05
Great Southern District,16,Assault Police Officer,25.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Attempted / Conspiracy to Murder,0.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Breach of Family Violence Restraint Order,179.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Breach of Police Order,146.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Breach of Violence Restraint Order,28.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Burglary (Dwelling),581.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Burglary (Non-Dwelling),346.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Cause Bushfire,14.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Cause Damage by Fire,30.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Common Assault (Family),555.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Common Assault (Non-Family),188.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Criminal Damage,155.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Cultivate or Manufacture Drugs,95.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Damage,898.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Deprivation of Liberty,7.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Driving Causing Death,1.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Drug Dealing,84.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Drug Possession,797.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Forgery,1.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Fraud (Credit Card),0.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Fraud (Not Elsewhere Classified),839.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Graffiti,43.0,123299.0,129598.0,6299.0,5.11
Great Southern District,16,Kidnapping / Child Stealing,0.0,123299.0,129598.0,6299.0,5.11
